Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
05/01/1986,08:35:54,"2.6",19.45,-99.12,"1","3 km al NORESTE de CUAUHTEMOC, CDMX",05/01/1986,14:35:54,revisado
26/01/1986,01:42:16,"2.5",19.35,-99.32,"2","2 km al NORTE de SAN LORENZO ACOPILCO, CDMX",26/01/1986,07:42:16,revisado
13/06/1986,03:32:32,no calculable,19.35,-99.24,"1","3 km al NOROESTE de LA MAGDALENA C, CDMX",13/06/1986,09:32:32,revisado
24/02/1987,23:31:27,no calculable,19.37,-99.27,"5","2 km al SURESTE de CUAJIMALPA, CDMX",25/02/1987,05:31:27,revisado
12/03/1987,12:47:55,no calculable,19.31,-99.07,"5","2 km al NOROESTE de TLAHUAC, CDMX",12/03/1987,18:47:55,revisado
12/12/1987,16:45:58,no calculable,19.15,-99.13,"15","6 km al SUR de S MIGUEL TOPILEJO, CDMX",12/12/1987,22:45:58,revisado
10/05/1988,01:56:52,"3.9",19.22,-99.05,"33","4 km al NOROESTE de MILPA ALTA, CDMX",10/05/1988,07:56:52,revisado
28/11/1988,11:33:17,"3.7",19.29,-99.34,"28","5 km al SUROESTE de SAN LORENZO ACOPILCO, CDMX",28/11/1988,17:33:17,revisado
13/09/1989,16:14:41,"3.8",19.41,-99.39,"5","11 km al NOROESTE de SAN LORENZO ACOPILCO, CDMX",13/09/1989,22:14:41,revisado
12/02/1990,05:47:49,"3.5",19.37,-99.2,"4","3 km al SUR de V ALVARO OBREGON, CDMX",12/02/1990,11:47:49,revisado
17/03/1990,18:49:18,"3.2",19.22,-99.18,"5","3 km al ESTE de S MIGUEL AJUSCO, CDMX",18/03/1990,00:49:18,revisado
22/04/1990,06:37:53,"3.3",19.37,-99.3,"6","2 km al SUROESTE de CUAJIMALPA, CDMX",22/04/1990,12:37:53,revisado
18/08/1991,07:18:12,"3.8",19.33,-99.24,"1","3 km al OESTE de LA MAGDALENA C, CDMX",18/08/1991,13:18:12,revisado
04/08/1993,16:29:35,"3.3",19.27,-99.02,"12","4 km al NOROESTE de S JUAN IXTAYOPAN, CDMX",04/08/1993,22:29:35,revisado
01/02/1994,17:21:38,"3.8",19.47,-99.08,"13","4 km al SURESTE de GUSTAVO A. MADERO, CDMX",01/02/1994,23:21:38,revisado
31/12/1995,21:23:35,"2.9",19.17,-98.98,"11","5 km al SURESTE de MILPA ALTA, CDMX",01/01/1996,03:23:35,revisado
25/09/1996,03:29:48,"3.2",19.44,-99.1,"6","3 km al NORESTE de VENUSTIANO CARRANZA, CDMX",25/09/1996,08:29:48,revisado
